SIRET,nom_etab,type_etab,etatAdministratifEtablissement,anciennete_ans,trancheEffectifsEtablissement,adresse_sirene,activitePrincipaleEtablissement
72206632100018,Inconnu,Autre,A,54.0,NN,50 DE RIVOLI,68.20B
74555043400021,Inconnu,Autre,A,40.0,NN,16 LINNE,68.20B
75211348000012,LE TROQUET DES GLACES,Restaurant,A,14.0,01,46 DU FAUBOURG DU TEMPLE,56.10A
75309809400026,Inconnu,Autre,A,9.0,01,51 LABROUSTE,43.22A
75400559300027,GWENDOG,Autre,A,14.0,02,22 CUSTINE,96.09Z
84484907500016,Inconnu,Bar,A,7.0,01,21 DE MAGENTA,56.30Z
84906525500010,SUSHI GOZEN,Restaurant,A,7.0,11,22 DELAMBRE,56.10A
78857337600027,LE BRAZZA,Bar,A,6.0,02,9 DE SEVRES,56.30Z
78867399400026,L'AUTHENTIK,Restaurant,F,13.0,02,90 BALARD,56.10A
78951837000018,CHEN MARKET,Autre,A,14.0,12,120 DU FAUBOURG DU TEMPLE,47.11C
78966125300052,CASTA DIVA,Restaurant,A,10.0,02,102 DU FAUBOURG SAINT-DENIS,56.10A
78997855800011,Inconnu,Bar,A,14.0,01,154 VOLTAIRE,56.30Z
78997855800011,Inconnu,Bar,A,14.0,01,154 VOLTAIRE,56.30Z
79000467500019,CORCORAN'S IRISH PUB,Bar,A,14.0,11,9 FOYATIER,56.30Z
79070099100025,BOUCHERIE D'ALESIA,Autre,A,13.0,01,125 D'ALESIA,47.22Z
79125508600013,O TACOS,Restaurant,A,14.0,12,5 DES INNOCENTS,56.10C
88277792300013,Inconnu,Bar,A,6.0,11,3 DU BOURG TIBOURG,56.30Z
79372883300021,Inconnu,Autre,A,12.0,01,3 DE LA PORTE DE VANVES,47.21Z
79377653500023,Inconnu,Bar,A,8.0,01,103 SIMON BOLIVAR,56.30Z
79385396100027,MEZZENCORE,Restaurant,A,11.0,12,88 PIERRE DEMOURS,56.10C
