SIRET,Nom de l'enseigne,nom_etab_officiel,type_activite,temporalité,Typologie,Numéro et voie,Arrondissement,etatAdministratifEtablissement,geo_point_2d,activitePrincipaleEtablissement
62200916500011,CAVEAU DU PALAIS,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,17 PLACE DAUPHINE,75001.0,A,"48.85654455241382, 2.3420729612189506",56.10A
90322450900013,BOUQUET GARNI,Inconnu,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,23 RUE BERGER,75001.0,A,"48.86146189298361, 2.345682349309945",56.10A
84775255700029,BARIOCA,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,30 RUE SAINT DENIS,75001.0,A,"48.86007337212048, 2.3483191277183817",56.10A
44892877000016,LA TOURELLE,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,2 RUE DE LA VRILLIERE,75001.0,A,"48.865199471145814, 2.340699686608213",56.10A
84775255700029,BARIOCA,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,25 RUE DE LA REYNIE,75001.0,A,"48.86007467681781, 2.3483985224626487",56.10A
97910253000016,JJAN,JJAN,Restaurant,toute_annee,TERRASSES OUVERTES SUR VOIE PIÉTONNE,14 RUE DU PONT NEUF,75001.0,A,"48.86014117353123, 2.3443119288595415",56.10A
57221245400019,CAFE CARROUSEL,LE CARROUSEL,Restaurant,que_ete,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,1 PLACE DES PYRAMIDES,75001.0,A,"48.864008239395595, 2.332016787372835",56.10A
84253665800029,COCO FRESH TEA AND JUICE,COCO,Restaurant,que_ete,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,53 RUE DES PETITS CHAMPS,75001.0,A,"48.867160994295986, 2.334975811813951",56.10C
93377139600019,BRASSERIE COQUELICOT,Inconnu,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,2 QUAI DE LA MEGISSERIE,75001.0,A,"48.85766202255796, 2.3458905034176616",56.10A
83757116500021,PERLE'S,MOMEN'TEA,Restaurant,toute_annee,TERRASSE OUVERTE,7 RUE MONTORGUEIL,75001.0,A,"48.86350272560972, 2.3463217659364686",56.10A
94385599900018,LOCMA,Inconnu,Restaurant,toute_annee,TERRASSES OUVERTES SUR VOIE PIÉTONNE,18 RUE MONTORGUEIL,75001.0,A,"48.863531392849595, 2.3464404360208384",56.10C
44529250100019,SUPPRIME,SUPPRIME,Restaurant,toute_annee,TERRASSE OUVERTE,6 RUE DE LA FERRONNERIE,75001.0,A,"48.86029832435011, 2.34756844604569",56.10A
31013032300028,AU CHIEN QUI FUME,Inconnu,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,33 RUE DU PONT NEUF,75001.0,A,"48.86134375138053, 2.344926363607194",56.10A
81767667900019,AU PARIS RIVOLI,PIZZA TIME,Restaurant,toute_annee,TERRASSE OUVERTE,33 RUE SAINT-DENIS,75001.0,A,"48.85994383505683, 2.3481217553706606",56.10A
57220300800030,CAFÉ RUC,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,159 RUE SAINT HONORE,75001.0,A,"48.86316634526568, 2.335308600708879",56.10A
50892868600015,TILAL,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,74 RUE RAMBUTEAU,75001.0,A,"48.86215001412646, 2.3496488580733113",56.10C
41157414800010,LE FUMOIR,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,8 PLACE DU LOUVRE,75001.0,A,"48.86036934958869, 2.34085787853303",56.10A
84060527300027,BLEND,BLEND,Restaurant,que_ete,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,18 RUE DUPHOT,75001.0,A,"48.868523422710325, 2.325544591421048",56.10A
45129034000012,LOUISE,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,8 RUE CROIX DES PETITS CHAMPS,75001.0,A,"48.86260204611595, 2.3394540528376986",56.10A
95138480900012,THALI,Inconnu,Restaurant,toute_annee,TERRASSES OUVERTES SUR VOIE PIÉTONNE,3 RUE DE LA FERRONNERIE,75001.0,A,"48.860175890398274, 2.3480542294675275",56.10A
88874220200037,LA VILLA SAINT HONORE,Inconnu,Restaurant,toute_annee,TERRASSES OUVERTES SUR VOIE PIÉTONNE,34 PLACE DU MARCHE SAINT HONORE,75001.0,A,"48.86704970145873, 2.3323588781073568",56.10A
50018986500016,CJPS,MARYLIN'S CAFE,Restaurant,toute_annee,TERRASSE FERMÉE,41 BOULEVARD DE SEBASTOPOL,75001.0,A,"48.86134832220063, 2.349565067006474",56.10A
82216362200027,CARROUSEL FRANCAIS,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,12 RUE DE TURBIGO,75001.0,A,"48.86367309044493, 2.348602770093649",56.10A
82309164000024,CRÊPERIE DU 8È,CREPERIE 8,Restaurant,toute_annee,TERRASSE OUVERTE,18 RUE MONTORGUEIL,75001.0,A,"48.863425583260806, 2.3464035990553436",56.10C
42167418500044,LE CAFE DES HALLES,LE CAFE DES HALLES,Restaurant,toute_annee,TERRASSE OUVERTE,30 RUE DE LA GRANDE TRUANDERIE,75001.0,A,"48.8630167701721, 2.348255707727072",56.10A
56210010700167,LAURA TODD,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,144 RUE SAINT HONORE,75001.0,A,"48.861907504817374, 2.3405283380629953",56.10C
90051489400014,BISTROT DU JARDIN,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,33 RUE BERGER,75001.0,A,"48.86174931731041, 2.344125985341698",56.10A
81900622200015,GOURMET DU ROULE,GOURMET DU ROULE,Restaurant,que_ete,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,8 RUE DU ROULE,75001.0,A,"48.86046492367959, 2.3436404081959497",56.10C
42098414800015,BGS,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,35 RUE MAUCONSEIL,75001.0,A,"48.86406345514914, 2.3468996357381533",56.10A
89973991600018,SNACK HALLES,Inconnu,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,5 RUE DES HALLES,75001.0,A,"48.859197335976276, 2.347079224906432",56.10C
97916859800014,LE RHINOCEROS,LE CIEL DE MARCEL,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,17 RUE ETIENNE MARCEL,75001.0,A,"48.86369433686309, 2.3493616844254515",56.10A
50420254000010,MACCARONI,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,18 RUE DES BOURDONNAIS,75001.0,A,"48.85915690806504, 2.3442432582891155",56.10C
52102477800016,BETTER MEIKO,MEI KO,Restaurant,toute_annee,TERRASSE OUVERTE,27 RUE DU BOULOI,75001.0,A,"48.86401816597273, 2.3415582841229012",56.10A
42178075000012,RESTAURANT PAUL,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,15 PLACE DAUPHINE,75001.0,A,"48.85631291792783, 2.3423324322550902",56.10A
90201174100011,CHEZ MOLLY,CHEZ MOLLY,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,43 RUE DE L'ARBRE SEC,75001.0,A,"48.86113189626981, 2.3424237573954785",56.10A
82315228500024,LE COMPTOIR SAINT HONORE,LE COMPTOIR SAINT HONORE,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,29 RUE DU PONT NEUF,75001.0,A,"48.860960975147776, 2.344685517389775",56.10A
53207389700029,CENTRE DE DISTRIBUTION FRANCE,MOMEN TEA,Restaurant,toute_annee,TERRASSE OUVERTE,5 AVENUE DE L OPERA,75001.0,A,"48.864915167278475, 2.334570763439954",56.10A
52439699100027,ITACATE COCINA MEXICANA,ITACATE SAVEURS DU MEXIQUE,Restaurant,toute_annee,TERRASSE OUVERTE,94 RUE SAINT HONORE,75001.0,A,"48.86150153750955, 2.3424290149246363",56.10A
88932460400012,PAUSE,PAUSE,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,3 RUE MONTMARTRE,75001.0,A,"48.86384930554921, 2.3455379500772406",56.10A
91540739900012,BNN,CARPE DIEM CAFE,Restaurant,toute_annee,TERRASSE OUVERTE,38 RUE DES BOURDONNAIS,75001.0,A,"48.86053996998256, 2.3456630591357563",56.10A
51819152300043,13 DUQUESNE,Inconnu,Restaurant,toute_annee,TERRASSE FERMÉE,208 RUE SAINT HONORE,75001.0,A,"48.86449639147134, 2.333009637946898",56.10A
85214285000027,GUMMO,SAUVAGES,Bar,toute_annee,TERRASSE OUVERTE,58 RUE JEAN JACQUES ROUSSEAU,75001.0,A,"48.86394529414532, 2.3434446834367715",56.30Z
98540470600014,LE MATIN DES OLIVIERS,LE MATIN DES OLIVIERS,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,2 RUE DE L'ECHELLE,75001.0,A,"48.863460618096575, 2.3341130434990616",56.10C
33499786300017,MAICHI  BEN SAID,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,17 RUE JEAN JACQUES ROUSSEAU,75001.0,A,"48.86257326555484, 2.3405588076446255",56.10A
