SIRET,Nom de l'enseigne,nom_etab_officiel,search_query,type_activite,temporalité,Numéro et voie,Arrondissement,geo_point_2d
47952865500018,CHEZ CLAUDE,CHEZ CLAUDE,CHEZ CLAUDE 166 RUE SAINT HONORE Paris,Restaurant,toute_annee,166 RUE SAINT HONORE,75001.0,"48.86221546760592, 2.339457110032639"
89033583900019,BAGELSTEIN,Inconnu,BAGELSTEIN 50 RUE DE L ARBRE SEC Paris,Restaurant,toute_annee,50 RUE DE L ARBRE SEC,75001.0,"48.86084331977196, 2.342562923053652"
90981279400016,FUWA FUWA,Inconnu,FUWA FUWA 16 RUE D'ARGENTEUIL Paris,Restaurant,que_ete,16 RUE D'ARGENTEUIL,75001.0,"48.865592404417704, 2.3337363170988317"
93377139600019,BRASSERIE COQUELICOT,Inconnu,BRASSERIE COQUELICOT 2 QUAI DE LA MEGISSERIE Paris,Restaurant,toute_annee,2 QUAI DE LA MEGISSERIE,75001.0,"48.857664819173316, 2.3459287729351983"
52110432300022,LA REGALADE,Inconnu,LA REGALADE 106 RUE SAINT HONORE Paris,Restaurant,que_ete,106 RUE SAINT HONORE,75001.0,"48.861568296266334, 2.341948011690966"
83083515300016,ROBAC,BAO'S,ROBAC 22 RUE PIERRE LESCOT Paris,Bar,toute_annee,22 RUE PIERRE LESCOT,75001.0,"48.8630554471444, 2.3487955624101198"
44415910700010,LE COSY,Inconnu,LE COSY 19 RUE DU MONT THABOR Paris,Restaurant,que_ete,19 RUE DU MONT THABOR,75001.0,"48.86619005073261, 2.3270187891304777"
82400591200020,BOUCHE BEE,BOUCHE BEE,BOUCHE BEE 20 RUE DU ROULE Paris,Restaurant,que_ete,20 RUE DU ROULE,75001.0,"48.86098562065107, 2.343913684576894"
83780495400027,LISA,Inconnu,LISA 9 RUE BERGER Paris,Restaurant,toute_annee,9 RUE BERGER,75001.0,"48.86065612946956, 2.3488316709681514"
83483120800014,MOTORS COFFEE,MOTORS COFFEE,MOTORS COFFEE 7 RUE DES HALLES Paris,Restaurant,toute_annee,7 RUE DES HALLES,75001.0,"48.859296910957895, 2.346989049304184"
44018750800013,HONG YUAN,Inconnu,HONG YUAN 5 RUE DES HALLES Paris,Restaurant,toute_annee,5 RUE DES HALLES,75001.0,"48.859233442125, 2.3470572956230416"
41173327200016,FLAM'S,Inconnu,FLAM'S 62 RUE DES LOMBARDS Paris,Restaurant,toute_annee,62 RUE DES LOMBARDS,75001.0,"48.85985540636376, 2.3476101084283068"
94466244400024,CAMPELLI,CAMPELLI,CAMPELLI 36 RUE CROIX DES PETITS CHAMPS Paris,Restaurant,toute_annee,36 RUE CROIX DES PETITS CHAMPS,75001.0,"48.86426475633001, 2.3402783531212643"
79139018000010,CHEZ GLADINES,GLADINES HALLES,CHEZ GLADINES 11BIS RUE DES HALLES Paris,Restaurant,toute_annee,11BIS RUE DES HALLES,75001.0,"48.85988710865345, 2.346471367930731"
81900622200015,GOURMET DU ROULE,GOURMET DU ROULE,GOURMET DU ROULE 8 RUE DU ROULE Paris,Restaurant,que_ete,8 RUE DU ROULE,75001.0,"48.86046492367959, 2.3436404081959497"
83199339900011,LAITCHA,Inconnu,LAITCHA 7 RUE DU JOUR Paris,Restaurant,toute_annee,7 RUE DU JOUR,75001.0,"48.86353671244303, 2.3442650838529775"
44533010300059,CAFE SIRENE FRANCE,STARBUCKS COFFEE FRANCE,CAFE SIRENE FRANCE 91 BOULEVARD SAINT GERMAIN Paris,Restaurant,toute_annee,91 BOULEVARD SAINT GERMAIN,75001.0,"48.85197794859775, 2.339510145210443"
45129034000012,LOUISE,Inconnu,LOUISE 8 RUE CROIX DES PETITS CHAMPS Paris,Restaurant,que_ete,8 RUE CROIX DES PETITS CHAMPS,75001.0,"48.862648204441776, 2.339506887136782"
84060527300027,BLEND,BLEND,BLEND 18 RUE DUPHOT Paris,Restaurant,que_ete,18 RUE DUPHOT,75001.0,"48.868523422710325, 2.325544591421048"
98121687200011,YAMATO,YAMATO,YAMATO 54 RUE JEAN JACQUES ROUSSEAU Paris,Restaurant,toute_annee,54 RUE JEAN JACQUES ROUSSEAU,75001.0,"48.86383091957757, 2.3432209071933614"
48392036900020,BUSH BOY INDUSTRIES,TARATATA,BUSH BOY INDUSTRIES 49 RUE BERGER Paris,Restaurant,toute_annee,49 RUE BERGER,75001.0,"48.862186806117386, 2.342212456477517"
42934413800012,TRES HONORE - LA MAISON PLISSON,TRES HONORE - LA MAISON PLISSON,TRES HONORE - LA MAISON PLISSON 35 PLACE DU MARCHE SAINT HONORE Paris,Restaurant,toute_annee,35 PLACE DU MARCHE SAINT HONORE,75001.0,"48.86756448301337, 2.3319545647249114"
44968325900013,,Inconnu,Inconnu 26 RUE DE LA REYNIE Paris,Bar,toute_annee,26 RUE DE LA REYNIE,75001.0,"48.86021613503003, 2.3483951571644233"
32173731400013,STE D UNITES DE RESTAURATION EXPLOITATION ET GESTI,Inconnu,STE D UNITES DE RESTAURATION EXPLOITATION ET GESTI 3 RUE SAINTE OPPORTUNE Paris,Restaurant,toute_annee,3 RUE SAINTE OPPORTUNE,75001.0,"48.86002119623706, 2.347208748929934"
91350336300024,MIAMOR,Inconnu,MIAMOR 60 RUE DE L ARBRE SEC Paris,Bar,toute_annee,60 RUE DE L ARBRE SEC,75001.0,"48.861181185284245, 2.3425892927387233"
38294547500020,UDON BISTRO KUNITORAYA,Inconnu,UDON BISTRO KUNITORAYA 5 RUE VILLEDO Paris,Restaurant,toute_annee,5 RUE VILLEDO,75001.0,"48.86620724209983, 2.3362952858996486"
